TID: [-1234] [2023-06-02 00:06:21,774]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 00:06:21,818]  INFO {AUDIT_LOG} - 'admin@carbon.super [-1234]' logged in at [2023-06-02 00:06:21,817-0700]
TID: [-1234] [2023-06-02 00:12:09,180]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : add | Target : Undefined@carbon.super | Data : { is } | Result : Success 
TID: [-1234] [2023-06-02 00:12:37,858] ERROR {AUDIT_LOG} - Illegal access attempt at [2023-06-02 00:12:37,0858] from IP address null while trying to authenticate access to service IdentityProviderMgtService
TID: [-1234] [2023-06-02 00:13:02,284]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 00:13:02,287]  INFO {AUDIT_LOG} - 'admin@carbon.super [-1234]' logged in at [2023-06-02 00:13:02,287-0700]
TID: [-1234] [2023-06-02 00:13:05,763]  INFO {AUDIT_LOG} - Initiator=admin@carbon.super Action=Get-Roles-of-User Target=admin Data={"Filter":"*","Roles":["Internal/everyone","admin","Application/apim_publisher","Internal/integration_dev","Internal/subscriber","Internal/creator","Application/apim_devportal","Application/admin_aa31ee01-3d38-48ed-b044-11c78bfc8bd8_SANDBOX","Internal/publisher","Internal/devops","Application/apim_admin_portal","Internal/analytics","Internal/observer"]} Outcome=Success
TID: [-1234] [2023-06-02 00:13:22,104]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : 4 | Data : { apim_admin_portal } | Result : Success 
TID: [-1234] [2023-06-02 00:13:34,364]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : 2 | Data : { apim_devportal } | Result : Success 
TID: [-1234] [2023-06-02 00:13:43,115]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : 1 | Data : { apim_publisher } | Result : Success 
TID: [-1234] [2023-06-02 00:16:06,079]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
