0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:05:57 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:05:58 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:05 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:05 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:09 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:09 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:09 -0700] GET /carbon HTTP/1.1 302 - - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.050
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:09 -0700] GET /carbon/admin/index.jsp HTTP/1.1 302 - - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.021
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:13 -0700] GET /carbon/admin/login.jsp HTTP/1.1 200 3713 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 4.540
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:13 -0700] GET /carbon/admin/css/global.css HTTP/1.1 200 5311 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.012
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:13 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:13 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:13 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:13 -0700] GET /carbon/dialog/css/jqueryui/jqueryui-themeroller.css HTTP/1.1 200 8841 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.046
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:13 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:13 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:13 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/css/carbonFormStyles.css HTTP/1.1 200 2050 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.033
